,Team,Home,Opponent,Victory,Wins,Losses,Ties,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost,Opponent Wins,Opponent Losses,Opponent Ties,Opponent Passing Rank,Opponent Completions,Opponent Attempts,Opponent Completion %,Opponent Passing Yards,Opponent Passing Yards / Attempt,Opponent Yards / Reception,Opponent Passing Touchdowns,Opponent Interceptions,Opponent QB Rating,Opponent Sacks,Opponent Passing Yardage Lost to Sacks,Opponent First Downs Passing,Opponent Fumbles,Opponent Fumbles Lost,Opponent Rushing Rank,Opponent Attempts,Opponent Rushing Yards,Opponent Rushing Yards / Attempt,Opponent Rushing Touchdowns,Opponent First Downs Rushing,Opponent Kicking Rank,Opponent Kicking Points,Opponent Field Goals Made,Opponent Field Goals Attempted,Opponent Field Goal %,Opponent Longest Field Goal,Opponent Field Goals Blocked,Opponent Extra Points Made,Opponent Extra Points Attempted,Opponent Extra Point %,Opponent Extra Points Blocked,Opponent Punting Rank,Opponent Punts,Opponent Punt Yards,Opponent Punt Yards Avg,Opponent Returning Rank,Opponent Kickoff Returns,Opponent Kickoff Return Yards,Opponent Kickoff Return Avg,Opponent Kickoff Return Touchdowns,Opponent Kickoff Return Long,Opponent Punt Returns,Opponent Punt Return Yards,Opponent Punt Return Avg,Opponent Punt Return Touchdowns,Opponent Punt Return Long,Opponent Defense Rank,Opponent Points Allowed,Opponent Total Tackles,Opponent Solo Tackles,Opponent Assisted Tackles,Opponent Sacks,Opponent Sack Yards,Opponent Interceptions,Opponent Interception Return Touchdowns,Opponent Forced Fumbles,Opponent Fumbles Opp Recovered,Opponent Fumbles Opp Recovered Touchdowns,Opponent Passes Defended,Opponent Stuffs,Opponent Stuff Yards,Opponent Safeties,Opponent Downs Rank,Opponent First Downs,Opponent First Downs Rushing,Opponent First Downs Passing,Opponent Third Downs Made,Opponent Third Downs Attempted,Opponent Third Down %,Opponent Fourth Downs Made,Opponent Fourth Downs Attempted,Opponent Fourth Down %,Opponent Penalties,Opponent First Downs Penalty,Opponent Penalty Yards,Opponent Yardage Rank,Opponent Points,Opponent Yards,Opponent Rushing Yards,Opponent Rushing Yards / Attempt,Opponent Rushing Touchdowns,Opponent Passing Yards,Opponent Passing Yards / Attempt,Opponent Yards / Reception,Opponent Passing Touchdowns,Opponent Kickoff Return Yards,Opponent Punt Return Yards,Opponent Penalty Yards,Opponent Turnovers Rank,Opponent Turnover +/-,Opponent Interceptions,Opponent Fumbles Opp Recovered,Opponent Interceptions,Opponent Fumbles Lost
TB_15_2015,TB,0,STL,0,6,7,0,17.6666666667,18.5833333333,31.3333333333,0.603083333333,226.166666667,7.46666666667,12.95,1.33333333333,0.75,88.8583333333,1.66666666667,11.25,11.5833333333,0.166666666667,0.0833333333333,9.58333333333,29.5833333333,145.25,4.90833333333,0.833333333333,6.5,11.8333333333,8.16666666667,2.08333333333,2.91666666667,0.7375,43.1666666667,0.0,1.91666666667,2.16666666667,0.72225,0.0,21.75,3.41666666667,143.166666667,41.6416666667,16.4166666667,1.25,30.5,16.7916666667,0.0,18.25,2.0,22.5833333333,8.375,0.0,14.5833333333,15.9166666667,23.3333333333,65.0833333333,46.1666666667,18.9166666667,2.41666666667,12.8333333333,0.916666666667,0.0833333333333,1.25,0.75,0.166666666667,5.08333333333,3.33333333333,10.0833333333,0.0,12.8333333333,20.8333333333,6.5,11.5833333333,5.66666666667,12.8333333333,0.435,0.333333333333,0.5,0.25,9.41666666667,2.75,77.5,14.9166666667,22.8333333333,371.416666667,145.25,4.90833333333,0.833333333333,226.166666667,7.46666666667,12.95,1.33333333333,30.5,22.5833333333,77.5,12.25,0.166666666667,0.916666666667,0.75,0.75,0.75,5,8,0,25.5,17.0833333333,30.6666666667,0.55925,164.5,5.525,10.5,0.583333333333,0.916666666667,69.125,1.16666666667,7.66666666667,7.0,0.25,0.0833333333333,12.5833333333,25.5833333333,128.916666667,5.01666666667,0.833333333333,5.66666666667,20.5,4.83333333333,1.16666666667,1.83333333333,0.573583333333,32.0,0.166666666667,1.33333333333,1.41666666667,0.708333333333,0.0833333333333,10.0,6.41666666667,311.666666667,48.075,14.5,1.75,41.75,17.8833333333,0.0,20.8333333333,2.75,15.4166666667,4.69166666667,0.0,10.25,13.0,20.0,62.3333333333,42.25,20.0833333333,2.5,13.6666666667,0.75,0.0833333333333,1.41666666667,0.833333333333,0.0833333333333,4.33333333333,3.91666666667,7.33333333333,0.0833333333333,24.8333333333,14.25,5.66666666667,7.0,3.0,12.9166666667,0.225833333333,0.333333333333,1.0,0.235833333333,8.08333333333,1.58333333333,64.75,21.5833333333,14.6666666667,293.416666667,128.916666667,5.01666666667,0.833333333333,164.5,5.525,10.5,0.583333333333,41.75,15.4166666667,64.75,12.75,0.0833333333333,0.75,0.833333333333,0.916666666667,0.583333333333
NYJ_15_2015,NYJ,0,DAL,1,8,5,0,14.0833333333,23.25,38.5833333333,0.600083333333,259.666666667,6.91666666667,11.8916666667,2.08333333333,0.916666666667,89.65,1.5,8.25,13.25,0.0833333333333,0.0833333333333,14.8333333333,28.5,114.666666667,3.85,0.666666666667,6.33333333333,11.5833333333,8.0,1.75,2.08333333333,0.812583333333,39.0833333333,0.0,2.75,2.75,1.0,0.0,17.75,5.25,226.166666667,42.2333333333,17.3333333333,2.5,54.0,17.3416666667,0.0,24.5833333333,3.41666666667,31.0833333333,7.08333333333,0.0,14.4166666667,12.5,20.5,53.1666666667,34.5833333333,18.5833333333,2.5,19.5833333333,1.0,0.0,0.75,0.583333333333,0.0,5.16666666667,2.58333333333,5.08333333333,0.0,12.5833333333,21.0,6.33333333333,13.25,6.08333333333,14.8333333333,0.405,0.5,1.0,0.346666666667,6.0,1.41666666667,51.3333333333,12.25,24.5,374.333333333,114.666666667,3.85,0.666666666667,259.666666667,6.91666666667,11.8916666667,2.08333333333,54.0,31.0833333333,51.3333333333,13.0833333333,0.0833333333333,1.0,0.583333333333,0.916666666667,0.583333333333,4,9,0,21.0833333333,19.5,30.9166666667,0.629083333333,195.166666667,6.43333333333,10.8416666667,0.75,1.08333333333,74.6166666667,2.25,13.6666666667,9.41666666667,0.25,0.0833333333333,13.0,26.9166666667,121.166666667,4.45,0.666666666667,6.41666666667,13.25,7.25,1.91666666667,2.0,0.805583333333,37.1666666667,0.0,1.5,1.5,0.666666666667,0.0,15.5,4.5,203.583333333,44.475,14.5,1.16666666667,32.6666666667,22.9583333333,0.0,25.0,2.08333333333,10.4166666667,4.54166666667,0.0,8.66666666667,16.3333333333,23.25,58.4166666667,39.5,18.9166666667,2.0,17.1666666667,0.5,0.0833333333333,0.25,0.166666666667,0.0,3.66666666667,3.5,8.33333333333,0.0,16.0833333333,18.6666666667,6.41666666667,9.41666666667,4.08333333333,12.0833333333,0.320833333333,0.5,1.16666666667,0.291666666667,7.58333333333,2.83333333333,56.75,19.75,16.9166666667,316.333333333,121.166666667,4.45,0.666666666667,195.166666667,6.43333333333,10.8416666667,0.75,32.6666666667,10.4166666667,56.75,18.5833333333,-1.0,0.5,0.166666666667,1.08333333333,0.583333333333
CHI_15_2015,CHI,0,MIN,0,5,8,0,14.6666666667,21.0833333333,33.3333333333,0.632,238.666666667,7.09166666667,11.6916666667,1.25,0.583333333333,89.575,1.75,10.1666666667,11.25,0.416666666667,0.333333333333,15.1666666667,29.3333333333,107.166666667,3.63333333333,0.916666666667,6.08333333333,14.25,7.41666666667,1.91666666667,2.41666666667,0.680583333333,33.0833333333,0.0,1.66666666667,1.75,0.708333333333,0.0833333333333,17.25,5.16666666667,228.083333333,43.9,11.3333333333,1.75,46.6666666667,24.6,0.0,29.5,2.25,18.0833333333,7.75,0.0,12.0833333333,15.0,23.5833333333,51.5,41.0833333333,10.4166666667,2.41666666667,16.75,0.583333333333,0.0,0.333333333333,0.583333333333,0.0,3.41666666667,1.16666666667,2.5,0.0,15.8333333333,19.0833333333,6.08333333333,11.25,5.33333333333,13.5833333333,0.38,0.25,0.5,0.25,6.91666666667,1.75,63.8333333333,16.4166666667,20.75,345.833333333,107.166666667,3.63333333333,0.916666666667,238.666666667,7.09166666667,11.6916666667,1.25,46.6666666667,18.0833333333,63.8333333333,13.3333333333,-0.0833333333333,0.583333333333,0.583333333333,0.583333333333,0.666666666667,8,5,0,21.1666666667,19.0833333333,29.8333333333,0.639416666667,190.75,6.35,10.8166666667,0.75,0.583333333333,81.6333333333,2.75,19.0,9.83333333333,0.416666666667,0.166666666667,10.8333333333,29.5,136.833333333,4.56666666667,1.08333333333,7.25,11.4166666667,8.08333333333,2.08333333333,2.41666666667,0.7445,33.9166666667,0.0833333333333,1.83333333333,2.08333333333,0.888916666667,0.0,18.5,4.16666666667,175.833333333,43.05,10.3333333333,2.91666666667,83.3333333333,26.2166666667,0.166666666667,41.9166666667,2.33333333333,23.3333333333,8.51666666667,0.0833333333333,16.0,11.4166666667,19.5833333333,54.0833333333,44.0,10.0833333333,2.33333333333,17.0,0.666666666667,0.0833333333333,0.75,0.5,0.0,4.0,2.41666666667,5.58333333333,0.0,15.9166666667,19.0833333333,7.25,9.83333333333,4.91666666667,12.5833333333,0.388333333333,0.333333333333,0.666666666667,0.25,6.0,2.0,56.6666666667,16.0833333333,21.25,327.583333333,136.833333333,4.56666666667,1.08333333333,190.75,6.35,10.8166666667,0.75,83.3333333333,23.3333333333,56.6666666667,12.8333333333,0.0,0.666666666667,0.5,0.583333333333,0.583333333333
KC_15_2015,KC,0,BAL,1,8,5,0,19.1666666667,19.75,30.6666666667,0.648916666667,215.5,7.04166666667,11.75,1.0,0.333333333333,91.8333333333,3.25,17.4166666667,9.75,0.166666666667,0.0,11.9166666667,25.8333333333,125.75,4.8,1.41666666667,7.16666666667,13.75,8.5,2.08333333333,2.58333333333,0.6805,33.25,0.0833333333333,2.25,2.41666666667,0.868083333333,0.0,14.5833333333,4.41666666667,202.666666667,46.8916666667,13.4166666667,2.16666666667,53.1666666667,21.8416666667,0.0,26.75,2.66666666667,18.6666666667,7.40833333333,0.0,14.8333333333,12.0,18.5833333333,51.1666666667,42.0,9.16666666667,2.83333333333,17.4166666667,1.41666666667,0.25,0.75,0.416666666667,0.0833333333333,5.58333333333,2.08333333333,4.75,0.0,15.3333333333,19.1666666667,7.16666666667,9.75,4.83333333333,12.3333333333,0.374166666667,0.333333333333,0.5,0.25,7.16666666667,2.25,59.1666666667,13.0,25.3333333333,341.25,125.75,4.8,1.41666666667,215.5,7.04166666667,11.75,1.0,53.1666666667,18.6666666667,59.1666666667,10.3333333333,0.833333333333,1.41666666667,0.416666666667,0.333333333333,0.666666666667,4,9,0,10.8333333333,27.0,41.8333333333,0.641916666667,279.25,6.625,10.8083333333,1.41666666667,1.25,82.1583333333,1.5,11.1666666667,13.3333333333,0.166666666667,0.166666666667,18.1666666667,24.0,94.3333333333,3.71666666667,0.583333333333,5.91666666667,11.25,8.41666666667,2.16666666667,2.75,0.7445,35.4166666667,0.0,1.91666666667,1.91666666667,0.916666666667,0.0,12.1666666667,4.41666666667,210.166666667,48.2583333333,10.3333333333,1.58333333333,41.6666666667,26.8166666667,0.0,29.3333333333,2.41666666667,31.4166666667,11.2416666667,0.0833333333333,21.5,17.3333333333,25.5833333333,55.3333333333,38.6666666667,16.6666666667,2.0,12.75,0.25,0.0,0.5,0.583333333333,0.0833333333333,4.08333333333,2.41666666667,4.25,0.0,13.25,20.75,5.91666666667,13.3333333333,4.83333333333,13.5,0.354166666667,0.833333333333,1.5,0.493333333333,8.0,1.5,76.3333333333,14.75,22.0833333333,373.583333333,94.3333333333,3.71666666667,0.583333333333,279.25,6.625,10.8083333333,1.41666666667,41.6666666667,31.4166666667,76.3333333333,17.9166666667,-0.916666666667,0.25,0.583333333333,1.25,0.5
CAR_15_2015,CAR,0,NYG,1,13,0,0,17.3333333333,18.25,30.8333333333,0.594416666667,229.5,7.45833333333,13.4833333333,2.25,0.75,96.1916666667,1.83333333333,14.0833333333,12.3333333333,0.0,0.0,7.41666666667,34.1666666667,145.0,4.25833333333,1.25,8.5,8.16666666667,9.58333333333,2.0,2.25,0.754166666667,35.1666666667,0.166666666667,3.58333333333,3.83333333333,0.9375,0.0833333333333,15.0833333333,4.5,206.0,44.9833333333,17.3333333333,1.25,22.8333333333,15.5416666667,0.0,18.25,1.83333333333,15.5833333333,4.98333333333,0.0,7.58333333333,11.6666666667,19.5,57.9166666667,36.3333333333,21.5833333333,2.91666666667,21.8333333333,1.58333333333,0.25,1.5,0.916666666667,0.0,5.58333333333,2.58333333333,5.33333333333,0.0,10.4166666667,22.5833333333,8.5,12.3333333333,4.83333333333,12.4166666667,0.384166666667,0.416666666667,0.666666666667,0.25,6.83333333333,1.75,58.6666666667,6.16666666667,32.5833333333,374.5,145.0,4.25833333333,1.25,229.5,7.45833333333,13.4833333333,2.25,22.8333333333,15.5833333333,58.6666666667,9.16666666667,1.33333333333,1.58333333333,0.916666666667,0.75,0.416666666667,6,7,0,12.1666666667,24.9166666667,38.6666666667,0.644583333333,278.833333333,7.275,11.7916666667,2.33333333333,0.833333333333,96.1,1.66666666667,9.66666666667,13.1666666667,0.5,0.166666666667,19.9166666667,24.6666666667,87.5,3.55833333333,0.166666666667,4.16666666667,12.25,8.16666666667,1.83333333333,2.0,0.680583333333,33.5833333333,0.0,2.66666666667,2.75,0.958333333333,0.0,15.25,4.66666666667,211.5,46.5166666667,11.5,2.5,65.8333333333,25.1333333333,0.0833333333333,33.9166666667,2.25,26.25,10.45,0.0833333333333,16.5,14.9166666667,24.4166666667,66.6666666667,47.3333333333,19.3333333333,1.33333333333,6.91666666667,1.0,0.166666666667,1.25,0.833333333333,0.0833333333333,5.5,2.25,4.83333333333,0.0833333333333,15.5833333333,20.5833333333,4.16666666667,13.1666666667,5.16666666667,13.5,0.368333333333,0.5,0.833333333333,0.291666666667,6.75,3.25,52.5,12.1666666667,26.0,366.333333333,87.5,3.55833333333,0.166666666667,278.833333333,7.275,11.7916666667,2.33333333333,65.8333333333,26.25,52.5,10.6666666667,0.583333333333,1.0,0.833333333333,0.833333333333,0.416666666667
BUF_15_2015,BUF,0,WSH,0,6,7,0,18.8333333333,19.5,31.0833333333,0.642916666667,215.166666667,7.275,12.525,1.66666666667,0.666666666667,96.7083333333,2.66666666667,18.9166666667,10.0833333333,0.5,0.166666666667,9.83333333333,29.9166666667,141.333333333,4.64166666667,1.0,7.33333333333,15.8333333333,6.25,1.33333333333,1.66666666667,0.611166666667,32.0833333333,0.0,2.25,2.58333333333,0.868083333333,0.0,12.6666666667,5.41666666667,251.583333333,46.4166666667,18.75,2.75,52.75,16.7,0.0,19.4166666667,2.33333333333,17.5,6.88333333333,0.0,10.5833333333,16.8333333333,23.9166666667,54.0,40.6666666667,13.3333333333,1.41666666667,9.0,0.916666666667,0.166666666667,0.666666666667,0.416666666667,0.0833333333333,5.16666666667,1.58333333333,2.58333333333,0.0833333333333,16.5833333333,18.6666666667,7.33333333333,10.0833333333,5.08333333333,13.9166666667,0.369166666667,0.333333333333,0.833333333333,0.235833333333,9.41666666667,1.25,81.0833333333,13.75,24.0833333333,356.5,141.333333333,4.64166666667,1.0,215.166666667,7.275,12.525,1.66666666667,52.75,17.5,81.0833333333,13.5,0.0,0.916666666667,0.416666666667,0.666666666667,0.666666666667,6,7,0,15.3333333333,24.4166666667,35.3333333333,0.703666666667,246.416666667,7.23333333333,10.8,1.41666666667,0.75,95.025,1.83333333333,12.75,12.5833333333,0.333333333333,0.25,18.3333333333,25.25,89.0833333333,3.25,0.666666666667,4.66666666667,12.4166666667,7.75,1.83333333333,2.08333333333,0.840333333333,38.8333333333,0.0833333333333,2.25,2.25,1.0,0.0,15.75,4.5,201.083333333,43.5083333333,13.4166666667,2.91666666667,74.5,24.0833333333,0.166666666667,38.5,2.0,9.08333333333,4.71666666667,0.0,7.75,15.0833333333,24.1666666667,61.0833333333,36.5833333333,24.5,1.75,12.25,0.75,0.0833333333333,1.25,0.916666666667,0.0,3.66666666667,2.91666666667,6.33333333333,0.0833333333333,15.6666666667,19.1666666667,4.66666666667,12.5833333333,5.75,13.5833333333,0.42,0.5,0.833333333333,0.305833333333,6.5,1.91666666667,53.5833333333,15.0833333333,22.5833333333,335.5,89.0833333333,3.25,0.666666666667,246.416666667,7.23333333333,10.8,1.41666666667,74.5,9.08333333333,53.5833333333,11.6666666667,0.0833333333333,0.75,0.916666666667,0.75,0.833333333333
ATL_15_2015,ATL,0,JAX,1,6,7,0,13.0833333333,26.5,40.5,0.656166666667,268.416666667,6.71666666667,10.85,1.25,1.08333333333,83.5,2.25,16.4166666667,14.1666666667,0.666666666667,0.25,15.75,24.6666666667,104.5,4.075,0.916666666667,6.25,16.8333333333,5.91666666667,1.25,1.58333333333,0.583333333333,24.5,0.0,2.16666666667,2.16666666667,0.916666666667,0.0,11.5833333333,3.91666666667,182.416666667,43.0,10.75,1.5,40.1666666667,24.7333333333,0.0,27.9166666667,1.75,18.0,8.35833333333,0.0,12.4166666667,14.8333333333,22.5833333333,56.3333333333,41.75,14.5833333333,1.25,6.33333333333,1.0,0.0833333333333,0.583333333333,0.5,0.166666666667,3.33333333333,2.5,6.0,0.0,10.5,22.5,6.25,14.1666666667,6.58333333333,14.3333333333,0.4525,0.833333333333,1.58333333333,0.305833333333,6.75,2.08333333333,68.0833333333,17.1666666667,21.0833333333,372.916666667,104.5,4.075,0.916666666667,268.416666667,6.71666666667,10.85,1.25,40.1666666667,18.0,68.0833333333,14.5833333333,-0.5,1.0,0.5,1.08333333333,0.916666666667,5,8,0,13.5833333333,22.1666666667,38.5,0.57575,260.333333333,6.91666666667,12.8416666667,2.41666666667,0.916666666667,90.6916666667,2.83333333333,18.0833333333,13.5833333333,0.416666666667,0.166666666667,16.3333333333,23.6666666667,99.5833333333,4.20833333333,0.333333333333,4.33333333333,12.5,7.91666666667,1.83333333333,2.08333333333,0.6875,32.6666666667,0.0,2.41666666667,2.91666666667,0.868666666667,0.0,13.3333333333,5.08333333333,234.5,46.6833333333,19.25,1.66666666667,37.5,12.6083333333,0.0,16.75,1.91666666667,23.4166666667,10.8166666667,0.0833333333333,20.0,18.5833333333,28.0833333333,57.0,43.25,13.75,2.5,16.8333333333,0.5,0.0833333333333,1.08333333333,0.75,0.166666666667,4.66666666667,3.33333333333,7.75,0.0,14.5,20.1666666667,4.33333333333,13.5833333333,5.16666666667,13.6666666667,0.370833333333,0.5,0.833333333333,0.305833333333,6.83333333333,2.25,57.0833333333,12.5833333333,26.4166666667,359.916666667,99.5833333333,4.20833333333,0.333333333333,260.333333333,6.91666666667,12.8416666667,2.41666666667,37.5,23.4166666667,57.0833333333,14.5,-0.25,0.5,0.75,0.916666666667,0.583333333333
HOU_15_2015,HOU,0,IND,1,6,7,0,15.5,22.8333333333,39.75,0.58525,245.083333333,6.21666666667,11.5083333333,1.91666666667,0.75,85.4166666667,2.08333333333,14.5833333333,13.1666666667,0.416666666667,0.166666666667,17.25,28.4166666667,99.1666666667,3.40833333333,0.416666666667,5.25,18.6666666667,5.25,1.08333333333,1.25,0.72225,27.5833333333,0.0,2.0,2.25,0.805583333333,0.0,13.25,6.25,291.583333333,46.0166666667,14.8333333333,1.5,35.8333333333,19.4083333333,0.0,21.0,3.08333333333,23.9166666667,7.56666666667,0.0,11.25,13.8333333333,22.0,55.25,37.5,17.75,2.58333333333,18.1666666667,0.833333333333,0.0833333333333,0.333333333333,0.416666666667,0.0,5.16666666667,2.75,5.75,0.0,12.0833333333,20.5833333333,5.25,13.1666666667,6.08333333333,15.5833333333,0.391666666667,0.333333333333,1.25,0.166666666667,6.83333333333,2.16666666667,61.6666666667,17.25,19.9166666667,344.25,99.1666666667,3.40833333333,0.416666666667,245.083333333,6.21666666667,11.5083333333,1.91666666667,35.8333333333,23.9166666667,61.6666666667,12.8333333333,0.0833333333333,0.833333333333,0.416666666667,0.75,0.416666666667,6,7,0,15.1666666667,22.75,39.25,0.584416666667,246.333333333,6.38333333333,11.65,1.75,1.25,78.6833333333,2.41666666667,15.4166666667,12.25,0.416666666667,0.166666666667,18.5833333333,25.4166666667,91.4166666667,3.74166666667,0.333333333333,4.58333333333,13.9166666667,7.25,1.66666666667,1.75,0.666666666667,30.5,0.0,2.25,2.41666666667,0.9375,0.0833333333333,7.83333333333,5.33333333333,259.666666667,48.65,14.75,2.75,68.0,20.8833333333,0.0,28.75,2.25,12.25,4.99166666667,0.0,8.41666666667,17.5833333333,27.4166666667,58.25,39.0,19.25,1.83333333333,11.25,1.16666666667,0.25,0.833333333333,0.583333333333,0.0833333333333,5.0,2.91666666667,5.66666666667,0.0,15.9166666667,19.5,4.58333333333,12.25,5.75,14.8333333333,0.3775,0.5,0.916666666667,0.346666666667,6.91666666667,2.66666666667,54.75,15.8333333333,21.75,337.75,91.4166666667,3.74166666667,0.333333333333,246.333333333,6.38333333333,11.65,1.75,68.0,12.25,54.75,13.75,-0.25,1.16666666667,0.583333333333,1.25,0.75
TEN_15_2015,TEN,0,NE,0,3,10,0,17.75,22.0,35.3333333333,0.627,231.166666667,6.525,11.475,1.41666666667,1.08333333333,81.5916666667,3.5,22.0833333333,12.75,0.666666666667,0.5,17.6666666667,23.3333333333,94.5833333333,3.84166666667,0.583333333333,4.25,19.5,4.58333333333,1.0,1.16666666667,0.527833333333,25.4166666667,0.0,1.58333333333,1.66666666667,0.791666666667,0.0833333333333,12.5,5.33333333333,248.916666667,46.4166666667,15.9166666667,2.41666666667,51.5,18.7666666667,0.0,22.5833333333,2.25,19.0,6.10833333333,0.0,10.5833333333,18.6666666667,26.0,54.0833333333,36.5833333333,17.5,2.58333333333,18.0,0.666666666667,0.0,0.666666666667,0.5,0.0833333333333,3.91666666667,1.75,3.41666666667,0.0,15.25,19.6666666667,4.25,12.75,4.08333333333,12.5,0.315,0.416666666667,0.916666666667,0.235833333333,6.0,2.66666666667,49.3333333333,19.6666666667,17.5833333333,325.75,94.5833333333,3.84166666667,0.583333333333,231.166666667,6.525,11.475,1.41666666667,51.5,19.0,49.3333333333,17.25,-0.833333333333,0.666666666667,0.5,1.08333333333,0.916666666667,11,2,0,7.66666666667,26.75,42.1666666667,0.64275,308.833333333,7.425,12.2416666667,2.41666666667,0.5,101.583333333,2.5,15.0,15.1666666667,0.333333333333,0.166666666667,17.0,23.6666666667,91.5,3.68333333333,1.08333333333,6.0,7.75,10.0,2.16666666667,2.25,0.888916666667,41.4166666667,0.0,3.5,3.5,1.0,0.0,17.5,4.58333333333,203.333333333,41.0166666667,21.8333333333,1.75,28.25,9.78333333333,0.0,12.0,3.16666666667,32.5,10.7166666667,0.0,20.0833333333,11.8333333333,19.3333333333,57.0,40.0,17.0,3.25,22.25,0.75,0.0,1.5,0.583333333333,0.0,5.91666666667,2.58333333333,5.83333333333,0.0833333333333,10.4166666667,23.0,6.0,15.1666666667,5.75,13.6666666667,0.409166666667,0.5,0.916666666667,0.458333333333,6.33333333333,1.83333333333,59.4166666667,7.33333333333,31.1666666667,400.333333333,91.5,3.68333333333,1.08333333333,308.833333333,7.425,12.2416666667,2.41666666667,28.25,32.5,59.4166666667,10.5833333333,0.333333333333,0.75,0.583333333333,0.5,0.5
CLE_15_2015,CLE,0,SEA,0,3,10,0,14.5,24.75,38.9166666667,0.62875,259.666666667,6.83333333333,11.9666666667,1.5,0.583333333333,90.425,3.33333333333,22.6666666667,12.75,0.75,0.416666666667,20.4166666667,23.0,84.4166666667,3.45,0.333333333333,4.41666666667,15.75,6.33333333333,1.58333333333,1.83333333333,0.72225,29.0,0.25,1.58333333333,1.75,0.72225,0.0,14.4166666667,4.91666666667,228.5,45.9083333333,12.8333333333,2.16666666667,54.9166666667,22.8666666667,0.0,23.1666666667,2.08333333333,23.8333333333,7.39166666667,0.0833333333333,14.8333333333,18.9166666667,27.1666666667,56.5833333333,39.25,17.3333333333,2.16666666667,12.1666666667,0.583333333333,0.166666666667,1.08333333333,0.75,0.0,3.41666666667,2.83333333333,6.41666666667,0.0,16.4166666667,19.5,4.41666666667,12.75,5.91666666667,14.0,0.410833333333,0.416666666667,1.16666666667,0.235833333333,7.33333333333,2.33333333333,67.0,16.4166666667,19.1666666667,344.083333333,84.4166666667,3.45,0.333333333333,259.666666667,6.83333333333,11.9666666667,1.5,54.9166666667,23.8333333333,67.0,15.4166666667,-0.25,0.583333333333,0.75,0.583333333333,1.0,8,5,0,15.3333333333,19.4166666667,28.75,0.678916666667,239.0,8.33333333333,13.2166666667,2.08333333333,0.5,106.641666667,2.75,14.9166666667,11.5833333333,0.25,0.166666666667,9.0,31.1666666667,146.5,4.74166666667,0.75,8.0,14.9166666667,7.25,1.58333333333,1.66666666667,0.805583333333,33.75,0.0833333333333,2.5,2.75,0.9375,0.166666666667,16.25,4.66666666667,211.75,44.8,16.75,2.0,51.25,25.8333333333,0.0833333333333,29.8333333333,2.75,18.5833333333,5.80833333333,0.0,13.5,10.75,16.75,57.0833333333,34.8333333333,22.25,2.5,16.75,0.833333333333,0.0,1.0,0.5,0.166666666667,4.58333333333,2.75,6.91666666667,0.0,13.5833333333,20.5,8.0,11.5833333333,5.5,12.5,0.430833333333,0.416666666667,0.416666666667,0.333333333333,7.41666666667,0.916666666667,64.8333333333,13.0833333333,25.75,385.5,146.5,4.74166666667,0.75,239.0,8.33333333333,13.2166666667,2.08333333333,51.25,18.5833333333,64.8333333333,11.75,0.333333333333,0.833333333333,0.5,0.5,0.5
