,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
TEN,TEN,2,13,0,0,JAX,13,0
PHI,PHI,9,6,0,0,WSH,24,0
SD,SD,9,6,0,0,SF,38,1
BAL,BAL,9,6,0,0,HOU,13,0
GB,GB,11,4,0,0,TB,20,1
KC,KC,8,7,0,0,PIT,12,0
CLE,CLE,7,8,0,0,CAR,13,0
DET,DET,11,4,0,0,CHI,20,1
MIN,MIN,6,9,0,0,MIA,35,0
ATL,ATL,6,9,0,0,NO,30,1
NE,NE,12,3,0,0,NYJ,17,1
NYG,NYG,6,9,0,0,STL,37,1
IND,IND,10,5,0,0,DAL,7,0
BUF,BUF,8,7,0,0,OAK,24,0
SEA,SEA,11,4,0,0,ARZ,35,1
DEN,DEN,11,4,0,0,CIN,28,0
JAX,JAX,3,12,0,1,TEN,21,1
WSH,WSH,4,11,0,1,PHI,27,1
SF,SF,7,8,0,1,SD,35,0
HOU,HOU,8,7,0,1,BAL,25,1
TB,TB,2,13,0,1,GB,3,0
PIT,PIT,10,5,0,1,KC,20,1
CAR,CAR,6,8,1,1,CLE,17,1
CHI,CHI,5,10,0,1,DET,14,0
MIA,MIA,8,7,0,1,MIN,37,1
NO,NO,6,9,0,1,ATL,14,0
NYJ,NYJ,3,12,0,1,NE,16,0
STL,STL,6,9,0,1,NYG,27,0
DAL,DAL,11,4,0,1,IND,42,1
OAK,OAK,3,12,0,1,BUF,26,1
ARZ,ARZ,11,4,0,1,SEA,6,0
CIN,CIN,10,4,1,1,DEN,37,1
