,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,17,20,35,0.571,195,5.6,10.7,0,2,49.1,3,19,10,2,0,18,20,100,5.0,1,6,13,8,2,3,0.667,49,0,2,2,1.0,0,2,3,157,52.3,8,6,149,24.8,0,46,0,0,0.0,0,0,29,37,76,57,19,1,5,1,0,3,1,1,3,6,26,0,16,17,6,10,4,12,0.33,1,1,1.0,6,1,52,16,20,295,100,5.0,1,195,5.6,10.7,0,149,0,52,13,0,1,1,2,0
ATL,8,19,29,0.655,249,8.6,14.2,4,2,103.3,4,21,14,0,0,12,27,127,4.7,0,5,23,4,0,0,0.0,0,0,4,4,1.0,0,18,4,172,43.0,11,7,158,22.6,0,44,1,3,3.0,0,3,31,38,52,45,7,3,20,1,0,2,1,0,4,2,4,0,13,19,5,14,6,12,0.5,1,2,0.5,8,0,68,9,28,376,127,4.7,0,249,8.6,14.2,4,158,3,68,21,-1,1,1,2,1
BAL,10,13,25,0.52,231,9.2,18.3,2,1,93.9,1,7,8,0,0,8,35,142,4.1,1,4,10,9,2,2,1.0,38,0,3,3,1.0,0,24,5,201,40.2,19,4,80,20.0,0,28,5,20,4.0,0,9,12,17,59,42,17,6,55,2,0,1,0,0,4,1,3,0,24,14,4,8,7,15,0.47,0,0,0.0,4,2,30,10,27,373,142,4.1,1,231,9.2,18.3,2,80,20,30,21,-1,2,0,1,2
BUF,19,13,19,0.684,186,9.8,15.4,3,0,139.5,3,14,7,1,1,18,37,100,2.7,0,5,26,3,0,0,0.0,0,0,3,3,1.0,0,26,7,271,38.7,32,1,10,10.0,0,10,4,31,7.8,0,21,1,0,65,40,25,2,18,2,0,0,0,0,6,0,0,0,25,13,5,7,6,15,0.4,0,0,0.0,5,1,17,15,21,286,100,2.7,0,186,9.8,15.4,3,10,31,17,13,0,2,0,0,2
CAR,16,24,39,0.615,197,5.1,9.4,0,2,53.0,5,29,11,0,0,31,11,43,3.9,0,1,26,3,1,2,0.5,37,0,0,0,0.0,0,27,7,268,38.3,25,6,112,18.7,0,24,2,11,5.5,0,11,29,37,60,51,9,3,22,0,0,0,0,0,3,5,15,0,28,12,1,11,3,13,0.23,1,2,0.5,8,0,65,30,3,240,43,3.9,0,197,5.1,9.4,0,112,11,65,27,-2,0,0,2,0
CHI,2,29,44,0.659,312,7.1,11.7,2,0,101.7,4,27,18,0,0,10,34,134,3.9,2,7,5,10,2,3,0.667,38,0,4,4,1.0,0,14,10,446,44.6,31,6,85,14.2,0,28,7,63,9.0,0,32,25,31,60,43,17,2,5,1,0,2,1,0,8,1,4,0,1,27,7,18,5,16,0.31,0,0,0.0,8,2,79,6,34,446,134,3.9,2,312,7.1,11.7,2,85,63,79,7,1,1,1,0,1
CIN,25,14,28,0.5,145,5.2,12.6,0,0,65.3,4,31,12,4,1,11,30,133,4.4,1,7,5,10,3,3,1.0,30,0,1,1,1.0,0,18,4,172,43.0,19,6,120,20.0,0,36,1,8,8.0,0,8,26,34,70,55,15,1,0,0,0,0,1,0,1,5,11,0,10,20,7,12,2,11,0.18,1,1,1.0,2,1,10,22,16,278,133,4.4,1,145,5.2,12.6,0,120,8,10,13,0,0,1,0,1
CLE,20,23,33,0.697,168,5.1,9.7,2,2,76.3,6,55,10,1,0,25,16,68,4.3,0,3,20,5,1,2,0.5,51,0,2,2,1.0,0,15,7,310,44.3,27,6,109,18.2,0,21,2,8,4.0,0,4,23,27,59,40,19,1,7,1,0,1,2,0,5,3,4,0,25,13,3,10,0,11,0.0,0,1,0.0,7,0,50,19,17,236,68,4.3,0,168,5.1,9.7,2,109,8,50,7,1,1,2,2,0
DAL,6,22,29,0.759,258,8.9,12.6,2,1,111.0,3,20,13,0,0,20,27,94,3.5,2,7,13,8,1,1,1.0,48,0,5,5,1.0,0,1,3,159,53.0,12,4,88,22.0,0,37,0,0,0.0,0,0,24,28,51,46,5,4,21,2,1,1,1,0,4,1,2,0,7,21,7,13,7,12,0.58,0,0,0.0,4,1,32,2,38,352,94,3.5,2,258,8.9,12.6,2,88,0,32,7,1,2,1,1,1
DEN,7,21,31,0.677,256,8.3,12.4,2,1,101.0,1,5,13,1,0,15,38,106,2.8,2,10,3,13,3,3,1.0,30,0,4,4,1.0,0,31,1,34,34.0,5,5,154,30.8,0,64,3,25,8.3,0,16,15,20,51,41,10,3,19,2,0,2,0,0,7,1,2,0,3,26,10,13,6,12,0.5,0,0,0.0,1,3,5,3,37,362,106,2.8,2,256,8.3,12.4,2,154,25,5,13,0,2,0,1,1
